timestamp,device,interface,event,severity,ip,message
2026-05-06 22:11:52,router1,wlan0,packet_loss,WARNING,157.208.200.158,High packet loss detected on router1 (17%)
2026-05-06 22:11:33,router2,eth2,normal_traffic,INFO,91.242.8.223,router2 normal traffic flow stable
2026-05-06 22:16:23,switch2,wlan0,cpu_spike,WARNING,207.58.9.129,switch2 CPU usage at 95%
2026-05-06 22:13:30,router2,wlan0,normal_traffic,INFO,188.21.87.72,router2 normal traffic flow stable
2026-05-06 22:16:20,router2,wlan0,normal_traffic,INFO,105.25.193.79,router2 normal traffic flow stable
2026-05-06 22:12:03,router2,wlan0,normal_traffic,INFO,53.26.172.3,router2 normal traffic flow stable
2026-05-06 22:14:13,firewall1,wlan0,normal_traffic,INFO,196.188.5.207,firewall1 normal traffic flow stable
2026-05-06 22:15:30,firewall1,wlan0,normal_traffic,INFO,211.220.80.166,firewall1 normal traffic flow stable
2026-05-06 22:15:59,firewall1,eth2,dns_timeout,WARNING,155.5.145.53,DNS timeout resolving domain for client 155.5.145.53
2026-05-06 22:12:58,router1,eth1,normal_traffic,INFO,27.250.248.194,router1 normal traffic flow stable
2026-05-06 22:13:20,switch1,wlan0,normal_traffic,INFO,2.23.69.79,switch1 normal traffic flow stable
2026-05-06 22:16:10,switch2,eth1,normal_traffic,INFO,61.43.58.169,switch2 normal traffic flow stable
2026-05-06 22:15:56,switch2,eth1,normal_traffic,INFO,94.195.238.90,switch2 normal traffic flow stable
2026-05-06 22:15:21,switch2,wlan0,interface_up,INFO,216.165.4.208,switch2 interface wlan0 is UP
2026-05-06 22:15:34,switch2,eth0,packet_loss,WARNING,54.90.126.95,High packet loss detected on switch2 (19%)
2026-05-06 22:12:39,switch2,eth2,high_latency,WARNING,6.29.219.244,Latency spike on switch2 reaching 422ms
2026-05-06 22:13:19,switch1,wlan0,normal_traffic,INFO,185.167.3.2,switch1 normal traffic flow stable
2026-05-06 22:15:52,router1,wlan0,dns_timeout,WARNING,192.17.209.113,DNS timeout resolving domain for client 192.17.209.113
2026-05-06 22:15:26,router1,eth1,packet_loss,WARNING,35.251.58.93,High packet loss detected on router1 (9%)
2026-05-06 22:14:03,router2,eth1,normal_traffic,INFO,183.144.83.196,router2 normal traffic flow stable
2026-05-06 22:12:37,firewall1,eth1,packet_loss,WARNING,36.203.202.9,High packet loss detected on firewall1 (24%)
2026-05-06 22:16:01,switch1,eth2,interface_up,INFO,126.155.7.74,switch1 interface eth2 is UP
2026-05-06 22:15:27,switch2,wlan0,dhcp_failure,CRITICAL,6.190.34.241,DHCP request failed from client 6.190.34.241
2026-05-06 22:14:23,switch2,eth1,high_latency,WARNING,93.91.73.154,Latency spike on switch2 reaching 161ms
2026-05-06 22:14:40,router1,eth2,dns_timeout,WARNING,204.2.72.244,DNS timeout resolving domain for client 204.2.72.244
2026-05-06 22:13:54,firewall1,eth0,normal_traffic,INFO,214.118.254.171,firewall1 normal traffic flow stable
2026-05-06 22:13:03,switch2,eth1,normal_traffic,INFO,2.102.152.196,switch2 normal traffic flow stable
2026-05-06 22:13:52,router1,eth2,normal_traffic,INFO,16.188.148.96,router1 normal traffic flow stable
2026-05-06 22:13:10,switch1,eth2,normal_traffic,INFO,140.253.226.139,switch1 normal traffic flow stable
2026-05-06 22:14:57,switch2,wlan0,normal_traffic,INFO,192.151.243.25,switch2 normal traffic flow stable
2026-05-06 22:12:23,firewall1,eth0,high_latency,WARNING,115.126.118.93,Latency spike on firewall1 reaching 500ms
2026-05-06 22:12:17,router1,eth0,packet_loss,WARNING,14.208.232.60,High packet loss detected on router1 (18%)
2026-05-06 22:15:48,switch2,eth2,normal_traffic,INFO,93.29.180.211,switch2 normal traffic flow stable
2026-05-06 22:16:05,router1,wlan0,normal_traffic,INFO,163.183.76.3,router1 normal traffic flow stable
2026-05-06 22:16:06,router1,eth0,packet_loss,WARNING,81.0.109.48,High packet loss detected on router1 (33%)
2026-05-06 22:13:58,switch1,wlan0,normal_traffic,INFO,89.78.152.52,switch1 normal traffic flow stable
2026-05-06 22:15:40,router2,eth1,normal_traffic,INFO,30.121.76.9,router2 normal traffic flow stable
2026-05-06 22:11:39,router2,eth0,normal_traffic,INFO,21.96.138.253,router2 normal traffic flow stable
2026-05-06 22:13:30,switch1,eth1,high_latency,WARNING,155.89.234.124,Latency spike on switch1 reaching 213ms
2026-05-06 22:12:43,router1,wlan0,normal_traffic,INFO,189.91.4.12,router1 normal traffic flow stable
2026-05-06 22:11:58,switch2,eth1,normal_traffic,INFO,136.194.120.25,switch2 normal traffic flow stable
2026-05-06 22:13:32,router2,eth0,high_latency,WARNING,144.66.238.74,Latency spike on router2 reaching 256ms
2026-05-06 22:13:33,switch1,eth1,normal_traffic,INFO,32.212.178.251,switch1 normal traffic flow stable
2026-05-06 22:12:49,router2,wlan0,normal_traffic,INFO,107.166.183.175,router2 normal traffic flow stable
